id|name
200000|[Oshi no Ko]
200001|Monogatari Series
200002|K-On!
200003|High School DxD
200004|Gurizaia no Kajitsu
200005|3-gatsu no Lion
200006|Yu☆Gi☆Oh!
200007|5-toubun no Hanayome
200008|86
200009|Luo Xiao Hei Zhan Ji
200010|Suzumiya Haruhi no Shoushitsu
200011|IDOLiSH7
200012|Mahou Shoujo Lyrical Nanoha
200013|Monster Musume no Iru Nichijou
200015|Danganronpa
200016|BanG Dream!
200017|Ajin
200018|Akagami no Shirayuki-hime
200019|Akame ga Kill!
200020|Akatsuki no Yona
200021|Akira
200022|Major
200023|ef: A Tale of Memories.
200024|Macross
200025|Quanzhi Gaoshou
200026|Aldnoah.Zero
200027|Honkai Impact 3rd
200031|Angel Beats!
200034|Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
200036|Ansatsu Kyoushitsu
200039|Ao no Exorcist
200046|Aria the Origination
200047|Arifureta Shokugyou de Sekai Saikyou
200049|Ashita no Joe
200053|Azur Lane
200055|Baccano!
200060|Bakuman.
200065|Banana Fish
200070|Beastars
200071|Beck
200072|Beelzebub
200074|Berserk
200076|Bishoujo Senshi Sailor Moon
200079|Black Cat
200080|Black Clover
200081|Black Lagoon
200083|Bleach
200085|Blood Lad
200088|Blue Lock
200089|Blue Period
200092|Boku dake ga Inai Machi
200093|Boku no Hero Academia
200101|Bokutachi wa Benkyou ga Dekinai
200106|Bungou Stray Dogs
200109|Cardcaptor Sakura
200111|Chainsaw Man
200113|Chihayafuru
200115|Chobits
200121|Citrus
200123|Clannad
200124|Claymore
200126|Code Geass
200127|Code:Breaker
200128|Comyushou desu.
200130|Cowboy Bebop
200133|D.Gray-man
200139|Darker than Black: Kuro no Keiyakusha
200141|Darwin's Game
200157|Detective Conan
200162|Diamond no Ace
200163|Digimon Adventure
200165|Domestic na Kanojo
200167|Dorohedoro
200175|Dr. Stone
200176|Dragon Ball
200179|Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
200180|Durarara!!
200187|Enen no Shouboutai
200194|Eve no Jikan
200197|Fairy Tail
200200|Fate
200207|Final Fantasy XIV
200210|Free!
200211|Freezing
200212|Fruits Basket
200214|Full Metal Panic!
200216|Fullmetal Alchemist
200217|Fumetsu no Anata e
200219|Fuufu Ijou
200220|Fuuka
200227|Gakkougurashi!
200231|Gakusen Toshi Asterisk
200234|Gangsta.
200243|Gin no Saji
200244|Ginga Eiyuu Densetsu
200246|Gintama
200248|Girls & Panzer
200250|Given
200252|Gleipnir
200253|Goblin Slayer
200257|Gokushufudou
200259|Golden Kamuy
200262|Grand Blue
200272|Hachimitsu to Clover
200276|Haikyuu!!
200277|Hajime no Ippo
200278|Hajimete no Gal
200288|Hataraku Maou-sama!
200289|Hataraku Saibou
200291|Hellsing
200297|Hibike! Euphonium
200300|Hige wo Soru. Soshite Joshikousei wo Hirou.
200303|High Score Girl
200304|Highschool of the Dead
200307|Hikaru no Go
200308|Himouto! Umaru-chan
200309|Hinamatsuri
200312|Hokuto no Ken
200317|Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen
200318|Horimiya
200322|Houseki no Kuni
200324|Hunter x Hunter
200331|IS: Infinite Stratos
200336|Ijiranaide
200348|InuYasha
200349|Inuyashiki
200353|Isekai Maou to Shoukan Shoujo no Dorei Majutsu
200365|Jibaku Shounen Hanako-kun
200366|Jigokuraku
200367|Jitsu wa Watashi wa
200370|JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
200371|JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
200372|JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
200373|JoJo no Kimyou na Bouken Part 6: Stone Ocean
200378|Jujutsu Kaisen
200390|Kage no Jitsuryokusha ni Naritakute!
200393|Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
200396|Kaichou wa Maid-sama!
200397|Kaifuku Jutsushi no Yarinaoshi
200399|Kakegurui
200403|Kami nomi zo Shiru Sekai
200404|Kamisama Hajimemashita
200409|Kanojo
200412|Kantai Collection: KanColle
200420|Karakai Jouzu no Takagi-san
200422|Katekyou Hitman Reborn!
200423|Kawaii dake ja Nai Shikimori-san
200437|Kidou Senshi Gundam 00
200442|Kidou Senshi Gundam: Tekketsu no Orphans
200443|Kidou Senshi Gundam: The Origin
200446|Kimetsu no Yaiba
200447|Kimi ni Todoke
200450|Kimi no Na wa.
200451|Kimi no Suizou wo Tabetai
200453|Kimi wa Houkago Insomnia
200456|Kingdom
200459|Kiseijuu
200461|Kiss x Sis
200468|Kobayashi-san Chi no Maid Dragon
200470|Koe no Katachi
200472|Koi to Uso
200476|Koibito Miman.
200480|Komi-san wa
200482|Kono Oto Tomare!
200485|Kono Subarashii Sekai ni Shukufuku wo!
200489|Koukaku Kidoutai
200495|Kumo desu ga
200498|Kuroko no Basket
200499|Kuroshitsuji
200502|Kuzu no Honkai
200504|Kara no Kyoukai
200509|Little Busters!
200510|Little Witch Academia
200512|Log Horizon
200515|Love Hina
200516|Love Live! School Idol Project
200520|Lovely★Complex
200532|Made in Abyss
200533|Magi
200538|Mahou Shoujo Madoka★Magica
200541|Mahoutsukai no Yome
200542|Mairimashita! Iruma-kun
200559|Maoujou de Oyasumi
200567|Medaka Box
200571|Mieruko-chan
200574|Mirai Nikki
200576|Mo Dao Zu Shi
200577|Mob Psycho 100
200581|Mononoke
200582|Monster
200589|Mushishi
200591|Mushoku Tensei: Isekai Ittara Honki Dasu
200593|NHK ni Youkoso!
200594|Nagatoro-san
200598|Nana
200600|Nani ka?
200601|Naruto
200602|Natsume Yuujinchou
200603|Nazo no Kanojo X
200607|Neon Genesis Evangelion
200610|New Game!
200612|NieR:Automata
200615|Nisekoi
200617|No Game No Life
200618|No.6
200619|Noblesse
200620|Nodame Cantabile
200623|Non Non Biyori Nonstop
200625|Noragami
200626|Nurarihyon no Mago
200630|Okarishimasu
200639|One Piece
200640|One Punch Man
200644|Ookami Shoujo to Kuro Ouji
200645|Ookami to Koushinryou
200648|Orange
200651|Ore no Imouto ga Konnani Kawaii Wake ga Nai
200661|Ouran Koukou Host Club
200664|Overlord
200668|Pandora Hearts
200673|Persona 3
200674|Persona 4
200679|Planetes
200685|Pokemon
200691|Psycho-Pass
200699|Ranma ½
200703|Re:Zero kara Hajimeru Isekai Seikatsu
200704|ReLIFE
200714|Rosario to Vampire
200715|Rurouni Kenshin: Meiji Kenkaku Romantan
200724|Saenai Heroine no Sodatekata
200727|Saiki Kusuo no Ψ-nan
200729|Saint Seiya: The Lost Canvas - Meiou Shinwa
200738|Sankarea
200744|School Rumble
200751|Seitokai Yakuindomo
200753|Sekirei
200762|Shadows House
200763|Shakugan no Shana
200764|Shaman King
200767|Shigatsu wa Kimi no Uso
200768|Shiguang Dailiren
200770|Shijou Saikyou no Deshi Kenichi
200777|Shingeki no Kyojin
200783|Shokugeki no Souma
200785|Shoujo Shuumatsu Ryokou
200788|Shouwa Genroku Rakugo Shinjuu
200790|Shuumatsu no Harem
200791|Shuumatsu no Walküre
200793|Skip Beat!
200795|Slam Dunk
200802|Sono Bisque Doll wa Koi wo Suru
200803|Sora no Otoshimono
200807|Sousei no Onmyouji
200812|Spy x Family
200813|Stand By Me Doraemon
200814|Steins;Gate
200820|Suki tte Ii na yo.
200822|Summertime Render
200830|Sword Art Online
200843|Tasogare Otome x Amnesia
200844|Tate no Yuusha no Nariagari
200849|Tengen Toppa Gurren Lagann
200852|Tenkuu Shinpan
200857|Tensei shitara Slime Datta Ken
200860|The Breaker
200866|Tian Guan Cifu
200867|To LOVE-Ru
200868|Toaru Kagaku no Railgun
200869|Toaru Majutsu no Index II
200872|Tokyo Ghoul
200876|Tokyo Revengers
200885|Tonikaku Kawaii
200917|Tsurezure Children
200926|Usagi Drop
200928|Uzaki-chan wa Asobitai!
200931|Vampire Knight
200932|Vanitas no Karte
200936|Vinland Saga
200937|Violet Evergarden
200939|Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
200940|Watashi ga Motete Dousunda
200949|Wolf's Rain
200951|Working!!!
200953|World Trigger
200954|Wotaku ni Koi wa Muzukashii
200958|Yagate Kimi ni Naru
200959|Yahari Ore no Seishun Love Comedy wa Machigatteiru.
200960|Yakusoku no Neverland
200962|Yamada-kun to Lv999 no Koi wo Suru
200967|Yofukashi no Uta
200975|Youjo Senki
200976|Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
200978|Yuragi-sou no Yuuna-san
200980|Yuru Camp△
200982|Yuukoku no Moriarty
200983|Yuusha
200984|Yuu☆Yuu☆Hakusho
200996|Zombieland Saga
200999|xxxHOLiC
201000|Project SEKAI COLORFUL STAGE! feat. Hatsune Miku
201001|20th Century Boys
201002|Touhou Project
201003|Azumanga Daioh
201004|Hololive
201005|Jashin-chan Dropkick
201006|Meikyuu Black Company
201007|Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.
201008|Joker Game
201009|Kono Naka ni Hitori, Imouto ga Iru!
201010|Rail Wars!
201011|Inazuma Eleven
201012|UQ Holder!
201013|Soul Eater
201014|Death Note
201015|Kino no Tabi: The Beautiful World
201016|Kill la Kill
201017|Strike the Blood
201018|Baki
201019|Elfen Lied
201020|Tokidoki
201021|Mahouka Koukou no Rettousei
201022|3D Kanojo: Real Girl
201023|Date A Live II
201024|Tennis no Oujisama
201025|Junjou Romantica
201026|Higashi no Eden
201027|Okusama ga Seitokaichou!
201028|Uchouten Kazoku
201029|Dagashi Kashi
201030|Masamune-kun no Revenge
201031|Tales of Zestiria the Cross
201032|Sekaiichi Hatsukoi
201033|100-man no Inochi no Ue ni Ore wa Tatteiru
201034|Prison School
201035|Yuuki Yuuna wa Yuusha de Aru
201036|Wonder Egg Priority
201037|Hanma Baki: Son of Ogre
201038|Kidou Senshi Gundam: Suisei no Majo
201039|Gekkan Shoujo Nozaki-kun
201040|Seikon no Qwaser
201041|Danshi Koukousei no Nichijou
201042|Xian Wang de Richang Shenghuo
201043|D4DJ
201044|Yowamushi Pedal
201045|Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...
201046|Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.
201047|Great Teacher Onizuka
201048|Trigun
201049|Uma Musume
201050|Kokoro Connect
